SERIALNO,NP,TYPE,ACR,BDSP,BLD,ELEP,FULP,GASP,HFL,RMSP,TEN,VALP,YBL,R18,R60
84876,2,1,House on one to less than ten acres,4,One-family house detached,200,2,3,Electricity,10,Owned free and clear,650000,1970 to 1979,none,1 or more
84923,1,1,House on less than one acre,3,One-family house detached,120,2,3,Electricity,6,Owned with mortgage or loan,350000,1970 to 1979,none,1 or more
85176,2,1,House on less than one acre,3,One-family house detached,190,2,110,Utility gas,9,Owned with mortgage or loan,450000,1990 to 1999,none,none
85512,2,1,NA,2,20-49 Apartments,70,2,3,No fuel used,4,Rented,NA,1950 to 1959,none,none
85839,1,1,House on less than one acre,3,One-family house detached,170,2,3,Electricity,5,Owned with mortgage or loan,230000,1950 to 1959,none,1 or more
86095,2,1,House on less than one acre,4,One-family house detached,120,50,70,Utility gas,8,Owned free and clear,2476000,1990 to 1999,none,1 or more
86311,2,1,House on less than one acre,2,Mobile home or trailer,130,2,3,Electricity,4,Owned free and clear,25000,1970 to 1979,none,1 or more
86445,1,1,House on less than one acre,7,One-family house detached,250,2,10,Electricity,9,Owned free and clear,270000,2007,none,1 or more
86472,4,1,House on less than one acre,3,One-family house detached,50,2,50,Utility gas,6,Rented,NA,2000 to 2004,1 or more,none
86531,1,1,House on less than one acre,3,Mobile home or trailer,120,2,20,Utility gas,5,Owned with mortgage or loan,150000,1990 to 1999,none,none
86585,3,1,House on one to less than ten acres,3,One-family house detached,200,2,100,Utility gas,5,Rented,NA,1939 or earlier,1 or more,none
86768,1,1,NA,0,3-4 Apartments,70,2,3,Electricity,1,Rented,NA,1960 to 1969,none,none
86885,2,1,House on less than one acre,2,One-family house detached,80,2,60,Utility gas,6,Owned with mortgage or loan,225000,1940 to 1949,none,none
86921,2,1,House on less than one acre,2,One-family house detached,70,2,20,Utility gas,7,Owned free and clear,300000,1939 or earlier,none,none
86952,3,1,House on less than one acre,2,One-family house detached,100,2,70,Utility gas,7,Rented,NA,1940 to 1949,none,1 or more
87083,4,1,House on less than one acre,3,One-family house detached,80,2,3,Electricity,5,Rented,NA,1970 to 1979,1 or more,none
87091,4,1,House on less than one acre,5,One-family house detached,140,2,100,Utility gas,9,Owned with mortgage or loan,725000,2014,1 or more,none
87170,2,1,NA,2,5-9 Apartments,70,2,3,Electricity,4,Rented,NA,1990 to 1999,none,none
87189,2,1,House on less than one acre,3,One-family house detached,40,2,20,Utility gas,5,Owned free and clear,290000,1970 to 1979,none,1 or more
87289,6,1,NA,3,20-49 Apartments,120,2,3,Electricity,5,Rented,NA,1960 to 1969,1 or more,none
87357,1,1,NA,2,10-19 Apartments,50,2,3,Electricity,4,Rented,NA,1970 to 1979,none,none
87457,3,1,House on less than one acre,4,One-family house detached,100,2,90,Utility gas,12,Owned with mortgage or loan,475000,1939 or earlier,1 or more,none
87491,4,1,House on less than one acre,4,One-family house detached,70,2,80,Utility gas,8,Owned with mortgage or loan,320000,1950 to 1959,1 or more,none
87529,1,1,NA,1,20-49 Apartments,20,2,20,Utility gas,2,Rented,NA,2010,none,none
87672,2,1,House on less than one acre,3,One-family house detached,100,300,3,Electricity,7,Owned with mortgage or loan,240000,1970 to 1979,none,none
87718,2,1,House on less than one acre,2,One-family house detached,90,2,150,Utility gas,7,Owned free and clear,340000,1970 to 1979,none,1 or more
87753,1,1,NA,1,3-4 Apartments,70,2,3,Electricity,2,Rented,NA,1970 to 1979,none,1 or more
87788,7,1,House on less than one acre,3,One-family house detached,130,2,140,Utility gas,9,Owned with mortgage or loan,185000,1970 to 1979,1 or more,none
87892,3,1,NA,2,3-4 Apartments,30,2,3,Electricity,4,Rented,NA,2009,none,none
87894,2,1,House on less than one acre,4,One-family house detached,140,2,70,Electricity,7,Owned free and clear,900000,1940 to 1949,none,1 or more
87989,1,1,NA,1,10-19 Apartments,70,2,3,Electricity,3,Rented,NA,1990 to 1999,none,none
88006,2,1,House on less than one acre,2,Mobile home or trailer,160,2,3,Wood,3,Owned free and clear,125000,1990 to 1999,none,1 or more
88010,3,1,House on less than one acre,3,One-family house detached,40,2,40,Utility gas,5,Rented,NA,1970 to 1979,1 or more,none
88029,1,1,House on less than one acre,2,One-family house detached,140,2,3,Electricity,5,Owned with mortgage or loan,225000,1939 or earlier,none,none
88194,4,1,House on less than one acre,4,One-family house detached,170,2,50,Utility gas,7,Owned with mortgage or loan,420000,1990 to 1999,none,1 or more
88363,1,1,House on less than one acre,3,One-family house detached,40,2,50,Utility gas,6,Owned with mortgage or loan,300000,2009,none,none
88386,2,1,NA,2,50 or more apartments,60,2,50,Utility gas,4,Rented,NA,1980 to 1989,none,none
88397,5,1,House on less than one acre,5,One-family house detached,190,2,40,No fuel used,9,Rented,NA,1940 to 1949,none,none
88460,3,1,House on one to less than ten acres,2,One-family house detached,300,200,3,Electricity,6,Owned free and clear,400000,1970 to 1979,1 or more,none
88607,2,1,House on less than one acre,4,One-family house detached,140,2,60,Electricity,7,Owned free and clear,250000,1990 to 1999,none,1 or more
88655,2,1,House on less than one acre,3,One-family house detached,150,2,3,Electricity,5,Owned with mortgage or loan,72000,1990 to 1999,none,1 or more
88719,1,1,NA,1,50 or more apartments,110,2,3,Electricity,3,Rented,NA,1980 to 1989,none,1 or more
88761,1,1,NA,0,20-49 Apartments,70,2,10,Utility gas,1,Rented,NA,1960 to 1969,none,none
88771,2,1,NA,2,3-4 Apartments,70,2,3,Electricity,3,Rented,NA,1970 to 1979,none,none
88772,5,1,House on less than one acre,4,One-family house detached,90,2,3,Electricity,11,Owned with mortgage or loan,700000,1990 to 1999,1 or more,none
88966,2,1,House on less than one acre,3,One-family house detached,70,2,50,Utility gas,10,Owned free and clear,180000,1970 to 1979,none,1 or more
89102,2,1,NA,2,3-4 Apartments,50,2,3,Electricity,4,Rented,NA,1960 to 1969,none,1 or more
89165,2,1,House on one to less than ten acres,3,One-family house detached,80,2,200,"Bottled, tank, or LP gas",11,Owned with mortgage or loan,215000,1970 to 1979,none,1 or more
89254,1,1,NA,1,2 Apartments,100,2,3,Electricity,3,Rented,NA,1939 or earlier,none,1 or more
89372,4,1,House on ten or more acres,3,One-family house detached,70,450,20,Wood,8,Owned free and clear,400000,1960 to 1969,1 or more,1 or more
89408,7,1,House on less than one acre,4,One-family house detached,250,2,3,Electricity,7,Owned with mortgage or loan,120000,1970 to 1979,1 or more,none
89421,2,1,House on less than one acre,3,Mobile home or trailer,400,2,3,Electricity,5,Owned free and clear,100000,1980 to 1989,none,1 or more
89467,1,1,House on less than one acre,7,One-family house detached,30,2,30,Utility gas,16,Owned free and clear,450000,2015,none,none
89497,2,1,House on less than one acre,5,One-family house detached,90,2,30,Utility gas,8,Owned with mortgage or loan,473000,1990 to 1999,none,1 or more
89505,1,1,House on one to less than ten acres,2,One-family house detached,160,2,3,Electricity,8,Owned free and clear,200000,1990 to 1999,none,1 or more
89581,2,1,House on less than one acre,3,One-family house detached,80,2,3,Electricity,5,Owned with mortgage or loan,200000,1990 to 1999,1 or more,none
89603,2,1,House on less than one acre,3,One-family house detached,90,2,20,Utility gas,6,Owned with mortgage or loan,275000,1960 to 1969,none,none
89664,1,1,NA,2,10-19 Apartments,70,2,3,Electricity,4,Rented,NA,1960 to 1969,none,none
89872,4,1,House on less than one acre,3,Mobile home or trailer,180,2,3,Electricity,4,Rented,NA,1990 to 1999,1 or more,none
89943,2,1,House on less than one acre,3,One-family house detached,70,2,40,Utility gas,6,Owned with mortgage or loan,270000,2014,none,1 or more
90328,2,1,House on less than one acre,3,One-family house detached,50,200,120,Utility gas,6,Owned free and clear,350000,1970 to 1979,none,1 or more
90341,2,1,House on less than one acre,3,One-family house detached,90,2,20,Utility gas,5,Rented,NA,1960 to 1969,none,none
90373,1,1,House on less than one acre,4,One-family house detached,90,2,50,Utility gas,10,Owned free and clear,500000,1950 to 1959,none,1 or more
90694,4,1,House on less than one acre,2,One-family house detached,60,2,3,Electricity,4,Owned with mortgage or loan,290000,1940 to 1949,1 or more,none
90881,2,1,House on less than one acre,3,One-family house detached,300,2,3,Electricity,9,Owned free and clear,350000,2012,none,1 or more
91105,1,1,House on less than one acre,3,One-family house detached,150,150,3,Electricity,6,Owned free and clear,17500,1960 to 1969,none,1 or more
91128,4,1,House on less than one acre,2,One-family house detached,210,2,40,Utility gas,9,Owned free and clear,225000,1939 or earlier,none,1 or more
91191,1,1,NA,0,3-4 Apartments,40,2,3,Electricity,1,Owned with mortgage or loan,140000,2012,none,none
91237,1,1,NA,1,5-9 Apartments,110,2,3,Electricity,3,Rented,NA,1970 to 1979,none,1 or more
91462,2,1,NA,1,"Boat, RV, van, etc.",40,80,3,Electricity,2,Owned with mortgage or loan,50000,2005,none,1 or more
91521,3,1,House on less than one acre,3,One-family house detached,140,2,3,Wood,5,Owned with mortgage or loan,250000,1970 to 1979,none,none
91524,1,1,House on less than one acre,5,One-family house detached,100,2,120,Utility gas,8,Owned with mortgage or loan,290000,1939 or earlier,none,1 or more
91547,4,1,House on less than one acre,3,One-family house detached,150,2,160,Utility gas,7,Rented,NA,2000 to 2004,1 or more,none
91553,3,1,House on less than one acre,4,One-family house detached,100,2,200,Utility gas,12,Owned with mortgage or loan,800000,1939 or earlier,none,1 or more
91567,5,1,House on less than one acre,3,One-family house detached,100,2,50,Utility gas,8,Owned with mortgage or loan,470000,2010,1 or more,none
91680,1,1,NA,1,5-9 Apartments,20,2,4,Utility gas,6,Owned free and clear,2476000,1939 or earlier,none,1 or more
91724,3,1,House on less than one acre,3,One-family house detached,250,2,3,Electricity,5,Owned with mortgage or loan,180000,1960 to 1969,1 or more,none
91900,2,1,House on less than one acre,2,Mobile home or trailer,100,2,3,Electricity,4,Owned free and clear,40000,1980 to 1989,none,1 or more
92024,2,1,House on less than one acre,3,One-family house detached,100,2,100,Utility gas,6,Owned with mortgage or loan,200000,1980 to 1989,none,1 or more
92053,1,1,House on less than one acre,3,One-family house detached,220,2,130,Utility gas,5,Owned free and clear,260000,1950 to 1959,none,1 or more
92116,1,1,NA,2,5-9 Apartments,30,2,20,Utility gas,4,Rented,NA,1990 to 1999,none,1 or more
92164,2,1,House on one to less than ten acres,4,One-family house detached,50,2,20,Wood,8,Owned with mortgage or loan,50000,1970 to 1979,none,none
92171,1,1,House on ten or more acres,3,One-family house detached,60,2,3,Electricity,7,Owned free and clear,850000,1980 to 1989,none,1 or more
92321,1,1,House on less than one acre,1,One-family house detached,70,2,3,Electricity,3,Rented,NA,1940 to 1949,none,1 or more
92500,2,1,House on less than one acre,2,Mobile home or trailer,80,2,3,Electricity,5,Owned free and clear,46000,1980 to 1989,none,1 or more
92519,2,1,NA,2,2 Apartments,50,2,3,Electricity,4,Rented,NA,1960 to 1969,1 or more,none
92622,4,1,NA,2,5-9 Apartments,150,1,3,Electricity,3,Rented,NA,1980 to 1989,1 or more,none
92625,4,1,House on less than one acre,3,One-family house detached,540,2,3,Electricity,6,Owned with mortgage or loan,120000,1940 to 1949,none,1 or more
92804,3,1,NA,2,50 or more apartments,80,2,3,Electricity,5,Rented,NA,2005,none,none
92812,2,1,House on less than one acre,3,One-family house detached,80,2,3,Electricity,6,Rented,NA,1950 to 1959,none,none
93017,5,1,House on less than one acre,4,One-family house detached,210,2,100,Electricity,5,Rented,NA,2000 to 2004,1 or more,none
93125,4,1,House on less than one acre,3,One-family house detached,120,40,40,Utility gas,5,Rented,NA,1990 to 1999,1 or more,none
93127,3,1,House on less than one acre,2,Mobile home or trailer,90,2,3,Electricity,8,Owned with mortgage or loan,35000,1990 to 1999,none,none
93238,2,1,House on less than one acre,2,One-family house detached,120,1000,3,"Fuel oil, kerosene, etc.",4,Owned with mortgage or loan,180000,1950 to 1959,none,none
93414,4,1,House on ten or more acres,3,One-family house detached,250,1000,3,Wood,7,Occupied without payment of rent,NA,1960 to 1969,1 or more,none
93494,2,1,House on less than one acre,3,One-family house detached,70,2,110,Utility gas,5,Owned free and clear,120000,1950 to 1959,none,1 or more
93600,3,1,House on less than one acre,3,One-family house attached,30,2,50,Utility gas,4,Owned with mortgage or loan,200000,2006,none,1 or more
93652,1,1,House on less than one acre,1,One-family house detached,110,2,3,Electricity,4,Rented,NA,1950 to 1959,none,1 or more
93670,1,1,House on one to less than ten acres,3,One-family house detached,50,1200,3,Wood,6,Owned free and clear,175000,1970 to 1979,none,1 or more
93757,3,1,House on less than one acre,4,One-family house detached,300,20,3,Electricity,9,Owned with mortgage or loan,400000,1940 to 1949,1 or more,none
93930,6,1,House on less than one acre,3,One-family house detached,180,2,90,Electricity,8,Owned with mortgage or loan,360000,1980 to 1989,1 or more,none
94034,2,1,House on ten or more acres,3,One-family house detached,30,100,210,Utility gas,5,Owned free and clear,200000,1950 to 1959,none,none
94125,2,1,House on ten or more acres,2,Mobile home or trailer,150,2,3,Electricity,5,Owned with mortgage or loan,425000,1970 to 1979,none,1 or more
94140,3,1,House on less than one acre,3,One-family house detached,230,2,3,Electricity,5,Rented,NA,1970 to 1979,none,none
94163,2,1,House on less than one acre,2,One-family house detached,150,2,100,Electricity,10,Owned with mortgage or loan,600000,1980 to 1989,none,none
94362,2,1,NA,1,20-49 Apartments,70,2,3,Electricity,3,Rented,NA,1990 to 1999,none,none
94550,4,1,House on less than one acre,3,One-family house detached,80,70,80,Utility gas,12,Owned with mortgage or loan,400000,1939 or earlier,1 or more,none
94566,2,1,House on less than one acre,3,One-family house attached,60,2,80,Utility gas,8,Owned with mortgage or loan,130000,1970 to 1979,none,1 or more
94666,2,1,House on one to less than ten acres,3,One-family house detached,210,600,3,Wood,16,Owned with mortgage or loan,400000,1980 to 1989,none,1 or more
94797,3,1,House on less than one acre,2,One-family house detached,80,2,70,Utility gas,5,Owned with mortgage or loan,180000,1950 to 1959,1 or more,none
94895,2,1,House on less than one acre,3,One-family house detached,140,2,3,Electricity,7,Owned free and clear,250000,1970 to 1979,none,1 or more
94999,2,1,House on less than one acre,3,Mobile home or trailer,170,2,3,Electricity,5,Owned with mortgage or loan,100000,1980 to 1989,none,none
95008,2,1,House on less than one acre,3,One-family house detached,70,2,30,Utility gas,7,Owned with mortgage or loan,230000,1980 to 1989,none,1 or more
95026,1,1,House on less than one acre,3,One-family house detached,60,800,100,Utility gas,6,Owned free and clear,250000,1940 to 1949,none,1 or more
95121,2,1,House on less than one acre,3,One-family house detached,540,2,3,Electricity,5,Rented,NA,1960 to 1969,none,1 or more
95507,1,1,NA,0,20-49 Apartments,30,2,3,Electricity,1,Rented,NA,2014,none,none
95828,2,1,House on less than one acre,2,One-family house detached,90,2,20,Utility gas,5,Owned with mortgage or loan,200000,1939 or earlier,none,1 or more
96074,3,1,House on one to less than ten acres,3,One-family house detached,200,100,3,Wood,6,Rented,NA,1940 to 1949,1 or more,none
96414,1,1,House on less than one acre,2,One-family house detached,60,2,80,Utility gas,5,Owned with mortgage or loan,148000,1940 to 1949,none,1 or more
96475,2,1,House on less than one acre,3,One-family house detached,110,2,170,Utility gas,7,Owned free and clear,400000,1970 to 1979,none,1 or more
96494,2,1,House on less than one acre,3,One-family house detached,30,200,20,"Fuel oil, kerosene, etc.",5,Owned with mortgage or loan,2476000,1939 or earlier,none,none
96608,4,1,House on less than one acre,3,One-family house detached,230,2,3,Electricity,7,Owned with mortgage or loan,280000,2000 to 2004,1 or more,none
96663,3,1,House on less than one acre,2,One-family house detached,70,2,30,Utility gas,6,Owned with mortgage or loan,330000,1940 to 1949,1 or more,none
96781,3,1,House on less than one acre,4,One-family house detached,200,2,130,Utility gas,6,Owned with mortgage or loan,650000,1990 to 1999,1 or more,none
96832,1,1,NA,1,20-49 Apartments,80,2,3,Electricity,2,Rented,NA,1970 to 1979,none,none
97219,2,1,House on less than one acre,2,One-family house detached,140,2,110,Electricity,3,Owned with mortgage or loan,180000,2000 to 2004,none,none
97440,1,1,NA,1,50 or more apartments,20,2,3,Electricity,3,Rented,NA,2008,none,1 or more
97481,2,1,House on less than one acre,2,One-family house detached,80,1500,3,"Fuel oil, kerosene, etc.",7,Owned with mortgage or loan,250000,1950 to 1959,none,1 or more
97502,1,1,NA,0,50 or more apartments,20,2,3,Electricity,1,Rented,NA,1939 or earlier,none,none
97550,5,1,House on less than one acre,4,One-family house detached,150,2,110,Utility gas,9,Owned with mortgage or loan,545000,1990 to 1999,1 or more,none
97588,2,1,House on less than one acre,2,Mobile home or trailer,100,2,10,Electricity,4,Owned free and clear,4000,1950 to 1959,1 or more,none
97712,2,1,House on less than one acre,2,One-family house detached,100,600,3,"Fuel oil, kerosene, etc.",6,Owned with mortgage or loan,130000,1939 or earlier,none,none
97796,2,1,House on less than one acre,2,Mobile home or trailer,120,2,3,Electricity,4,Rented,NA,1990 to 1999,none,none
97977,2,1,House on one to less than ten acres,3,One-family house detached,130,2,3,Electricity,6,Owned with mortgage or loan,450000,2000 to 2004,none,1 or more
98019,5,1,House on less than one acre,5,One-family house detached,30,2,90,Utility gas,8,Owned with mortgage or loan,380000,2007,1 or more,none
98082,2,1,House on less than one acre,3,Mobile home or trailer,160,2,3,Electricity,6,Rented,NA,2010,none,1 or more
98355,2,1,NA,3,50 or more apartments,60,2,3,Electricity,4,Rented,NA,2007,none,none
98465,2,1,House on less than one acre,3,One-family house detached,90,2,80,Utility gas,5,Owned free and clear,185000,1950 to 1959,none,1 or more
98490,3,1,House on less than one acre,4,One-family house detached,90,2,90,Utility gas,6,Owned with mortgage or loan,400000,2010,none,1 or more
98588,3,1,House on less than one acre,3,One-family house detached,130,2,3,Electricity,10,Owned with mortgage or loan,400000,1970 to 1979,none,1 or more
98606,3,1,NA,2,50 or more apartments,70,2,3,Electricity,5,Rented,NA,1960 to 1969,1 or more,none
98717,1,1,House on less than one acre,3,One-family house detached,130,2,3,Electricity,5,Rented,NA,1960 to 1969,none,none
98741,2,1,NA,1,50 or more apartments,60,2,40,Electricity,3,Rented,NA,1960 to 1969,none,1 or more
98835,2,1,House on less than one acre,2,One-family house detached,50,400,40,Utility gas,6,Rented,NA,1939 or earlier,none,none
99139,2,1,NA,2,3-4 Apartments,50,2,3,Electricity,4,Rented,NA,2005,none,none
99290,3,1,House on less than one acre,4,One-family house detached,100,2,180,Utility gas,10,Owned with mortgage or loan,400000,1970 to 1979,1 or more,none
99295,6,1,NA,3,20-49 Apartments,60,2,50,Utility gas,6,Rented,NA,2000 to 2004,1 or more,none
99360,1,1,House on less than one acre,2,Mobile home or trailer,120,2,3,Electricity,5,Owned free and clear,50000,1970 to 1979,none,1 or more
99593,1,1,House on less than one acre,3,One-family house detached,110,2,40,Utility gas,5,Owned with mortgage or loan,150000,1990 to 1999,none,1 or more
99623,5,1,House on less than one acre,3,One-family house detached,80,2,80,Utility gas,5,Rented,NA,1970 to 1979,1 or more,none
99658,2,1,House on less than one acre,3,One-family house detached,110,2,20,Utility gas,7,Owned free and clear,250000,1970 to 1979,none,1 or more
99682,4,1,House on less than one acre,4,One-family house detached,340,2,80,Utility gas,10,Owned with mortgage or loan,369000,2000 to 2004,1 or more,none
99857,2,1,NA,2,5-9 Apartments,100,2,3,Electricity,6,Rented,NA,1970 to 1979,1 or more,none
100089,1,1,House on less than one acre,3,One-family house detached,50,2,100,Utility gas,5,Owned free and clear,210000,1950 to 1959,none,none
100276,2,1,House on less than one acre,2,One-family house detached,120,500,3,Other fuel,6,Owned free and clear,400000,1950 to 1959,none,1 or more
100331,3,1,House on less than one acre,4,One-family house detached,190,2,3,Other fuel,7,Owned with mortgage or loan,230000,1970 to 1979,none,none
100386,1,1,NA,1,20-49 Apartments,30,2,50,Utility gas,4,Rented,NA,1940 to 1949,none,none
100431,2,1,House on less than one acre,3,One-family house detached,200,2,3,Electricity,6,Owned with mortgage or loan,200000,1970 to 1979,none,none
100454,1,1,House on less than one acre,3,One-family house detached,70,2,90,Utility gas,6,Owned free and clear,90000,1940 to 1949,none,1 or more
100493,4,1,House on less than one acre,3,One-family house detached,110,2,100,Utility gas,6,Owned with mortgage or loan,139000,1940 to 1949,1 or more,none
100528,2,1,House on less than one acre,2,One-family house attached,40,2,3,Electricity,4,Rented,NA,1970 to 1979,none,none
100723,3,1,House on less than one acre,4,One-family house detached,140,2,50,Utility gas,10,Owned with mortgage or loan,850000,2000 to 2004,none,none
100851,3,1,House on less than one acre,4,One-family house detached,100,240,3,Wood,5,Owned free and clear,200000,1970 to 1979,none,1 or more
100925,4,1,House on less than one acre,2,Mobile home or trailer,150,2,3,Electricity,4,Rented,NA,1970 to 1979,1 or more,none
100992,6,1,House on one to less than ten acres,4,One-family house detached,260,420,3,Electricity,7,Rented,NA,1970 to 1979,1 or more,none
101287,2,1,House on less than one acre,2,One-family house detached,50,2,40,Utility gas,6,Owned with mortgage or loan,150000,1940 to 1949,none,none
101515,3,1,House on ten or more acres,5,One-family house detached,200,2,3,Electricity,8,Owned free and clear,250000,2000 to 2004,none,1 or more
101574,1,1,House on less than one acre,2,One-family house detached,50,300,3,Wood,5,Rented,NA,1939 or earlier,none,none
101585,3,1,House on less than one acre,3,One-family house detached,130,100,110,Utility gas,6,Owned with mortgage or loan,325000,1960 to 1969,1 or more,none
101676,4,1,House on less than one acre,3,One-family house detached,80,2,80,Utility gas,7,Owned with mortgage or loan,230000,2000 to 2004,1 or more,none
101680,3,1,House on less than one acre,4,One-family house detached,120,2,3,Wood,6,Rented,NA,1980 to 1989,none,none
101765,2,1,House on less than one acre,3,One-family house detached,190,2,30,Utility gas,6,Owned free and clear,247000,1980 to 1989,none,1 or more
101788,1,1,House on less than one acre,3,One-family house detached,70,100,3,Electricity,5,Owned free and clear,249000,2005,none,1 or more
101898,3,1,House on less than one acre,3,One-family house detached,80,2,80,Utility gas,5,Owned with mortgage or loan,270000,2014,1 or more,none
102028,2,1,NA,2,5-9 Apartments,100,2,3,Electricity,4,Rented,NA,1970 to 1979,none,1 or more
102043,1,1,House on less than one acre,4,One-family house detached,80,2,10,Utility gas,9,Owned free and clear,271000,1970 to 1979,none,1 or more
102063,5,1,House on less than one acre,4,One-family house detached,120,2,10,Utility gas,6,Owned with mortgage or loan,200000,1960 to 1969,1 or more,1 or more
102537,3,1,House on one to less than ten acres,4,One-family house detached,150,2,350,Utility gas,10,Owned with mortgage or loan,950000,1980 to 1989,none,1 or more
102596,1,1,NA,1,3-4 Apartments,80,2,3,Electricity,3,Rented,NA,1960 to 1969,none,none
102670,1,1,House on less than one acre,3,One-family house detached,50,2,70,Utility gas,5,Owned with mortgage or loan,243000,1970 to 1979,none,none
102728,2,1,House on less than one acre,3,One-family house detached,150,2,3,Electricity,6,Owned free and clear,250000,1960 to 1969,none,1 or more
102729,2,1,House on less than one acre,3,One-family house detached,80,2,80,Utility gas,6,Owned with mortgage or loan,260000,1990 to 1999,none,1 or more
102890,3,1,House on less than one acre,3,One-family house detached,40,2,70,Utility gas,7,Owned free and clear,330000,2000 to 2004,none,none
102903,3,1,House on less than one acre,2,One-family house detached,90,2,130,Utility gas,4,Rented,NA,1970 to 1979,1 or more,none
103042,3,1,NA,2,3-4 Apartments,120,2,3,Electricity,4,Rented,NA,1970 to 1979,1 or more,none
103082,4,1,House on less than one acre,4,One-family house detached,60,2,60,Utility gas,7,Owned with mortgage or loan,600000,1990 to 1999,1 or more,none
103112,2,1,NA,1,5-9 Apartments,50,2,3,Electricity,2,Rented,NA,1990 to 1999,none,none
103133,4,1,House on one to less than ten acres,3,One-family house detached,140,2,3,Electricity,9,Owned free and clear,300000,1990 to 1999,1 or more,none
103150,2,1,NA,2,2 Apartments,60,2,3,Electricity,4,Rented,NA,2005,none,none
103425,2,1,House on less than one acre,3,One-family house detached,140,2,80,Utility gas,5,Owned with mortgage or loan,200000,1970 to 1979,none,1 or more
103536,3,1,House on less than one acre,3,One-family house detached,90,2,60,Utility gas,6,Rented,NA,1990 to 1999,1 or more,none
103663,1,1,House on less than one acre,3,One-family house detached,80,2,40,Utility gas,7,Owned with mortgage or loan,180000,1990 to 1999,none,1 or more
103709,4,1,House on less than one acre,3,One-family house detached,50,2,40,Utility gas,6,Owned with mortgage or loan,600000,2000 to 2004,1 or more,none
103732,1,1,House on less than one acre,2,One-family house detached,70,2,3,Electricity,6,Rented,NA,1980 to 1989,none,1 or more
103809,4,1,House on less than one acre,3,One-family house detached,90,2,70,Utility gas,6,Rented,NA,1990 to 1999,1 or more,none
103927,2,1,House on less than one acre,4,One-family house detached,100,2,110,Utility gas,6,Owned with mortgage or loan,210000,1960 to 1969,none,none
103966,2,1,House on one to less than ten acres,2,One-family house detached,90,2,3,Electricity,5,Owned with mortgage or loan,150000,1970 to 1979,none,1 or more
104113,3,1,NA,2,20-49 Apartments,190,2,3,Electricity,3,Rented,NA,1990 to 1999,1 or more,none
104121,4,1,House on one to less than ten acres,4,One-family house detached,120,2,3,Electricity,8,Owned with mortgage or loan,410000,1990 to 1999,1 or more,none
104222,4,1,House on one to less than ten acres,2,One-family house detached,60,2,3,Electricity,4,Rented,NA,1950 to 1959,1 or more,none
104252,2,1,House on one to less than ten acres,3,One-family house detached,100,700,3,"Fuel oil, kerosene, etc.",4,Owned free and clear,75000,1970 to 1979,none,1 or more
104326,1,1,House on less than one acre,3,One-family house detached,250,2,3,Wood,5,Owned free and clear,160000,1960 to 1969,none,none
104380,4,1,House on less than one acre,3,One-family house detached,100,2,70,Utility gas,7,Rented,NA,1939 or earlier,1 or more,none
104386,1,1,NA,2,5-9 Apartments,170,2,3,Electricity,5,Rented,NA,1970 to 1979,none,1 or more
104461,4,1,House on ten or more acres,5,Mobile home or trailer,150,900,3,Electricity,8,Owned with mortgage or loan,250000,1980 to 1989,none,1 or more
104518,1,1,NA,2,5-9 Apartments,60,2,3,Electricity,4,Rented,NA,2000 to 2004,none,1 or more
104706,2,1,House on less than one acre,3,Mobile home or trailer,80,2,40,Utility gas,4,Owned free and clear,1200,1960 to 1969,1 or more,none
104738,2,1,House on one to less than ten acres,3,One-family house detached,120,2,3,Electricity,8,Owned free and clear,400000,1970 to 1979,none,1 or more
104877,3,1,House on one to less than ten acres,3,One-family house detached,120,2,40,Electricity,9,Owned with mortgage or loan,350000,1970 to 1979,none,none
104984,1,1,NA,0,20-49 Apartments,30,2,3,Electricity,1,Rented,NA,1970 to 1979,none,none
105026,1,1,House on less than one acre,4,One-family house detached,90,2,80,Utility gas,8,Owned with mortgage or loan,256000,1939 or earlier,none,none
105098,1,1,House on less than one acre,3,One-family house detached,80,2,3,Electricity,5,Owned free and clear,150000,1960 to 1969,none,1 or more
105117,4,1,House on less than one acre,2,One-family house attached,250,2,60,Utility gas,5,Owned with mortgage or loan,265000,1970 to 1979,1 or more,none
105259,2,1,House on less than one acre,2,One-family house attached,90,2,3,Electricity,5,Rented,NA,1990 to 1999,none,1 or more
105402,1,1,House on ten or more acres,3,One-family house detached,100,100,100,Wood,8,Owned free and clear,1000000,1939 or earlier,none,1 or more
105476,1,1,House on less than one acre,2,One-family house detached,150,2,3,Wood,4,Owned with mortgage or loan,100000,1950 to 1959,none,none
105503,2,1,House on ten or more acres,3,One-family house detached,190,2,3,Electricity,8,Owned with mortgage or loan,850000,1970 to 1979,none,1 or more
105544,3,1,House on less than one acre,2,One-family house detached,80,2,60,Utility gas,9,Rented,NA,1939 or earlier,1 or more,none
105679,5,1,House on less than one acre,4,One-family house detached,150,2,3,Electricity,6,Rented,NA,2005,1 or more,none
105711,1,1,House on ten or more acres,4,One-family house detached,150,2,3,Electricity,6,Owned free and clear,500000,1939 or earlier,none,1 or more
105777,2,1,House on less than one acre,2,One-family house detached,120,360,3,Electricity,6,Owned with mortgage or loan,170000,1970 to 1979,none,1 or more
105797,6,1,House on one to less than ten acres,3,One-family house detached,190,900,3,Electricity,7,Owned with mortgage or loan,350000,1970 to 1979,1 or more,none
105809,4,1,House on less than one acre,5,One-family house detached,120,2,30,Utility gas,10,Owned with mortgage or loan,800000,1970 to 1979,1 or more,none
